# Time	E	I	Z
0.000000000000000000e+00 1.028958934958769667e-01 5.178063448532928964e-02 2.202778741594170475e-02
5.000000000000000104e-03 1.058380095258664444e-01 5.358906546046946634e-02 2.408833248211004682e-02
1.000000000000000021e-02 1.088257410176465684e-01 5.542592548505099331e-02 2.618235888920992377e-02
1.499999999999999944e-02 1.118583721985444146e-01 5.729184950640944102e-02 2.831057449048468219e-02
2.000000000000000042e-02 1.149350791842395358e-01 5.918747322210972384e-02 3.047366770045979029e-02
2.500000000000000139e-02 1.180549315230318835e-01 6.111343126516678714e-02 3.267230372829247470e-02
2.999999999999999889e-02 1.212168947097118366e-01 6.307035520552622954e-02 3.490712066800870372e-02
3.500000000000000333e-02 1.244198336646123865e-01 6.505887136280838479e-02 3.717872547210414325e-02
4.000000000000000083e-02 1.276625171543102066e-01 6.707959842708711984e-02 3.948768983913328312e-02
4.499999999999999833e-02 1.309436231113136340e-01 6.913314488658887924e-02 4.183454604990905629e-02
5.000000000000000278e-02 1.342617447915987750e-01 7.122010626367146491e-02 4.421978279067644013e-02
5.500000000000000028e-02 1.376153976916917876e-01 7.334106216327963834e-02 4.664384100499509300e-02
5.999999999999999778e-02 1.410030271317599393e-01 7.549657314127090901e-02 4.910710981895436561e-02
6.500000000000000222e-02 1.444230163984078219e-01 7.768717740354168233e-02 5.160992258663840704e-02
7.000000000000000666e-02 1.478736953310059721e-01 7.991338735073007238e-02 5.415255310435393432e-02
7.499999999999999722e-02 1.513533492287091609e-01 8.217568598737996777e-02 5.673521204293389963e-02
8.000000000000000167e-02 1.548602279520060743e-01 8.447452321875728587e-02 5.935804364735526584e-02
8.500000000000000611e-02 1.583925550926884307e-01 8.681031206293229885e-02 6.202112275189532870e-02
8.999999999999999667e-02 1.619485370893998799e-01 8.918342481018254331e-02 6.472445215705602273e-02
9.500000000000000111e-02 1.655263721721579873e-01 9.159418916611238026e-02 6.746796041149259737e-02
1.000000000000000056e-01 1.691242590280641334e-01 9.404288441899685824e-02 7.025150003820110345e-02
1.049999999999999961e-01 1.727404050913717015e-01 9.652973767559532015e-02 7.307484623928789391e-02
1.100000000000000006e-01 1.763730343736677475e-01 9.905492021289188931e-02 7.593769610783245028e-02
1.150000000000000050e-01 1.800203947636093982e-01 1.016185439957508763e-01 7.883966836876166173e-02
1.199999999999999956e-01 1.836807647399228138e-01 1.042206584121723317e-01 8.178030366340643953e-02
1.250000000000000000e-01 1.873524594557298972e-01 1.068612472785550882e-01 8.475906538466426721e-02
1.300000000000000044e-01 1.910338361662743123e-01 1.095402261669971844e-01 8.777534106161848093e-02
1.350000000000000089e-01 1.947232989854016938e-01 1.122574401050877579e-01 9.082844428425963790e-02
1.400000000000000133e-01 1.984193029684047371e-01 1.150126616958056930e-01 9.391761715081745066e-02
1.449999999999999900e-01 2.021203575298497201e-01 1.178055897010130276e-01 9.704203321234909640e-02
1.499999999999999944e-01 2.058250292146057703e-01 1.206358481266356364e-01 1.002008008818417450e-01
